adjusted threshold, kind of misaligned
B 20255 7912 -118  139
B 20265 7769 -118  127
B 20275 7452 -118  113
B 20285 7450 -118   98
B 20295 7418 -118   83
B 20305 7597 -118   67
B 20315 7598 -118   49
B 20325 7668 -118   32
B 20335 7741 -118   14
B 20345 7741 -118   -3
push -10 -10
push out at target
B 20355 7742   79  -10
B 20365 7704   79  -19
B 20375 7706   79  -30
B 20385 7723   79  -41
B 20395 7655   79  -51
B 20405 7659   79  -63
B 20415 7559   79  -75
B 20425 7632   79  -84
B 20435 7636   63  -95
B 20445 7778   79 -105
B 20455 7923   72 -110
B 20465 7920   31 -111
B 20475 7882    0 -111
B 20485 7532    9 -111
B 20495 7541    9 -109
B 20505 7512    9  -99
B 20515 7551    9  -91
B 20525 7552    9  -82
B 20535 8015    9  -73
B 20545 8047    9  -65
B 20555 8049    9  -57
B 20565 8050    9  -50
pb end 
B 20575 8086   10  -43
B 20585 8086   10  -37
B 20595 8086   10  -30
B 20605 8084   10  -24
SSS vs= 0.99  t=  276
%P VOLT1   = 7978
%P VOLT2   = 8248
%P S2_SC   =  0.99
%P L_ANG_MAX = 276
B 20615 8086   69  -17
B 20625 8086   69  -11
B 20635 8073   69   -4
B 20645 8060   69    2
B 20655 8053   69    8
B 20665 8055   69   14
B 20675 8053   69   19
B 20685 7772   69   24
B 20695 7913   69   30
B 20705 7913   69   34
B 20715 7946   69   37
B 20725 7980   69   42
B 20735 7977   69   49
B 20745 7977   69   56
B 20755 7908   67   64
B 20765 7910   63   71
B 20775 7734   59   79
B 20785 7631   54   87
B 20795 7633   51   94
B 20805 7633   47  101
B 20815 7781   43  107
B 20825 7781   39  115
B 20835 7818   36  121
B 20845 7853   32  128
B 20855 7856   28  135
B 20865 7895   24  141
B 20875 7933   21  147
B 20885 7936   19  153
B 20895 8005   19  158
B 20905 8040   19  163
B 20915 8043   19  168
B 20925 8043   19  172
B 20935 8045   19  175
B 20945 8043   19  179
B 20955 8080   19  182
B 20965 8080   19  184
B 20975 8080   19  186
B 20985 8080   19  187
pull out 187
B 20995 8080 -118  187
B 21005 8078 -118  188
B 21015 8046 -118  188
B 21025 8038 -118  188
B 21035 8038 -118  188
B 21045 8042 -118  188
B 21055 7549 -118  187
B 21065 7551 -118  187
B 21075 7731 -118  186
B 21085 7912 -118  179
B 21095 7912 -118  172
B 21105 7949 -118  161
B 21115 7842 -118  149
B 21125 7842 -118  137
B 21135 7703 -118  123
B 21145 7418 -118  108
B 21155 7418 -118   93
B 21165 7526 -118   78
B 21175 7635 -118   60
B 21185 7635 -118   43
B 21195 7707 -118   26
B 21205 7741 -118    6
B 21215 7742 -118   -5
push -10 -10
push out at target
B 21225 7742   79  -14
B 21235 7707   79  -23
B 21245 7697   79  -34
B 21255 7726   79  -45
B 21265 7625   79  -55
B 21275 7629   79  -67
B 21285 7526   79  -76
B 21295 7707   79  -86
B 21305 7714   72  -97
B 21315 7818   79 -104
B 21325 7961   47 -107
B 21335 7960   14 -107
B 21345 7857    9 -107
B 21355 7510    9 -107
B 21365 7514    9 -101
B 21375 7478    9  -96
B 21385 7836    9  -88
B 21395 7836    9  -81
B 21405 8050    9  -73
B 21415 8050    9  -66
B 21425 8050    9  -61
pb end 
B 21435 8086   10  -54
B 21445 8087   10  -49
B 21455 8084   10  -43
B 21465 8087   10  -38
** 21485

2_n_28_3 test-1 volt=0.82 ang= 209.0 rpm= 390 349.5 384.1 398.2  0
2_n_28_3 test-2 volt=8.20 ang= 201.0 rpm= 387 343.2 373.1 387.3 0
2_n_28_3 test-3 volt=8.17 ang= 186.0 rpm= 368 326.6 355.7 368.4 0
2_n_28_3 test-4 volt=8.17 ang= 200.0 rpm= 384 341.5 371.1 390.2 0
2_n_28_3 test-5 volt=8.12 ang= 196.0 rpm= 377 335.2 367.9 387.5 0
2_n_28_3 test-6 volt=8.16 ang= 208.0 rpm= 385 346.4 377.0 392.0 0
2_n_28_3 test-7 volt=8.12 ang= 201.0 rpm= 385 344.9 375.8 400.0 0
2_n_28_3 test-8 volt=8.12 ang= 197.0 rpm= 377 334.5 367.9 378.6 0
2_n_28_3 test-9 volt=8.11 ang= 203.0 rpm= 384 339.6 372.8 383.3 0
2_n_28_3 test-10 volt=8.12 ang= 208.0 rpm= 388 346.6 377.4 395.2 0
2_n_28_3 test-11 volt=8.11 ang= 211.0 rpm= 350 296.9 339.4 356.8 0
2_n_28_3 test-12 volt=8.12 ang= 215.0 rpm= 395 354.3 386.6 398.9 0
2_n_28_3 test-13 volt=8.11 ang= 206.0 rpm= 386 344.9 375.8 393.6 0
2_n_28_3 test-14 volt=8.11 ang= 205.0 rpm= 389 343.8 373.3 393.9 0
2_n_28_3 test-15 volt=8.11 ang= 214.0 rpm= 392 351.8 383.0 395.9 0
2_n_28_3 test-16 volt=8.11 ang= 207.0 rpm= 383 341.3 369.6 385.1 0
2_n_28_3 test-17 volt=8.11 ang= 210.0 rpm= 381 340.8 372.5 385.7 0
2_n_28_3 test-18 volt=8.07 ang= 203.0 rpm= 372 330.9 361.1 377.6 0
2_n_28_3 test-19 volt=8.07 ang= 174.0 rpm= 325 283.0 312.3 327.2 0
2_n_28_3 test-20 volt=8.08 ang= 186.0 rpm= 331 286.2 318.9 333.3 0
2_n_28_3 test-21 volt=8.08 ang= 164.0 rpm= 308 237.8 289.4 311.8 0
2_n_28_3 test-22 volt=8.08 ang= 170.0 rpm= 299 240.3 280.7 298.4 0
2_n_28_3 test-23 volt=8.08 ang= 168.0 rpm= 300 240.5 285.6 302.1 0
2_n_28_3 test-24 volt=8.08 ang= 191.0 rpm= 320 272.1 302.3 321.3 0
2_n_28_3 test-25 volt=8.08 ang= 201.0 rpm= 326 284.6 311.7 323.9 0
2_n_28_3 test-26 volt=8.09 ang= 218.0 rpm= 332 298.2 321.0 333.3 0
2_n_28_3 test-27 volt=8.08 ang= 182.0 rpm= 295 250.9 279.4 292.0 0
2_n_28_3 test-28 volt=8.09 ang= 188.0 rpm= 298 257.3 284.8 299.3 -1
